state,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AL,143646.1,148596.4,154093.6,156559.9,156403.9,160870.1,164991.9,175508.4,181385.9,184796.4,185868.8,185297.9,178021.4,182262.7,185054.8,186299,188165.1,186849,189339.1,190703,193023.9,198435.9,202940.3
AK,42262.3,41157.3,40721.7,39516.9,40973.8,42881,42150.5,43735.3,45051.6,48517.1,51114,50884,55837.6,54151.4,54645.7,57670.1,54750,53273,53798.7,52710.7,52727.4,53092.4,54442.9
AZ,168550.5,183138.4,198095.9,207793.3,212656.2,219311.3,233342,243246,263061,277288.3,284907,277477.1,255080.7,257484.7,263211.1,268288.8,270148.9,273677.1,280229.5,289230.4,299405.7,311705.6,321431.9
AR,82755.5,84794.5,89317.1,90206.3,89922.7,92884.9,96544.8,101210.2,104653.3,106940,106155.3,105791,102528.1,105922.5,108295.4,108745.2,111778.9,112932.1,113860.9,114541.2,115346.7,117293.8,119443.4
CA,1378653.7,1470393,1582377.4,1709938.7,1702775.7,1743650.6,1825424,1902318.8,1990140.8,2072177,2103618.2,2111138,2026486.9,2058137.9,2091586,2144497.3,2220867.6,2312540.1,2428598.4,2500950.4,2610682.3,2721651,2792029.1
CO,184192.9,201076.3,216300.2,232752,236382.6,236785.5,238539.8,240797.5,250839.6,256124.3,264577,267713.2,262379.8,264791.1,268680.8,273519.5,282533.9,295698.6,309179.6,316751.8,329573.7,341076.7,353076.6
CT,190791.1,196247.7,202229.6,216370,220287.4,219959.4,222240.4,237132.6,242485.4,251581.3,261129.1,259721.9,248040.6,247460.8,242019.5,243801,241081.2,237784.3,242910.7,242793.9,243682.5,244925.7,248818.7
DE,45230.7,49742.7,53861.8,56109,58881.6,56814,57957.3,60682.3,59973.5,61496.8,61235.1,58656.4,60404.2,60016.1,62017.4,61975.8,59157.1,63499.5,65876.1,63108.7,62740.1,62764.7,63280.2
FL,560887.8,590134.8,616625.2,642692.9,658640,685304,715436.1,757054.1,806338.6,834345.9,835867.1,803217.9,758264.1,766199.2,763745.9,769309.1,784090.1,805278,839124.3,866731,896117,924873.3,950759.1
GA,328994.5,352712.9,377607.5,393195.1,396875.1,400091.8,410587.6,429313.5,445533.2,450584.1,453061.4,443416,426263.8,433027.3,439890.5,444132.2,450771.8,465646,481575.7,498266.8,516593.9,528998.9,539536.3
HI,55678.7,54360.3,55182.2,56417.2,56019.3,57911.8,60838.1,64928.3,68565.5,70402.9,71191.7,71689.3,69094.8,71006.5,72080.2,73582.7,74277.5,74529.3,77185.4,78905.1,80715.8,82651.9,83509.4
ID,37014.7,38790.6,42496.1,47324.5,46062.2,47208,48535.8,51241.4,55387.1,57589.6,58703.1,59703.9,57087.5,57906.7,57796.7,57764.4,59830.6,61394.5,63097.5,65535.3,67818.2,70500.4,72494.4
