namestate,Abbreviation,FIPS,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base
Alabama,AL,1,1975,0,100,50,36.45
Alabama,AL,1,1976,5.92,105.92,52.96,38.61
Alabama,AL,1,1977,10.21,116.73,58.37,42.55
Alabama,AL,1,1978,8.22,126.33,63.17,46.05
Alabama,AL,1,1979,11.16,140.42,70.22,51.19
Alabama,AL,1,1980,4.77,147.13,73.57,53.63
Alabama,AL,1,1981,4.61,153.91,76.96,56.1
Alabama,AL,1,1982,-0.47,153.18,76.6,55.84
Alabama,AL,1,1983,5.03,160.88,80.45,58.65
Alabama,AL,1,1984,5.42,169.6,84.8,61.82
Alabama,AL,1,1985,2.67,174.12,87.07,63.47
Alabama,AL,1,1986,4.6,182.13,91.07,66.39
Alabama,AL,1,1987,3.54,188.57,94.29,68.74
Alabama,AL,1,1988,2.52,193.33,96.67,70.48
Alabama,AL,1,1989,1.67,196.56,98.29,71.65
Alabama,AL,1,1990,1.74,199.98,100,72.9
Alabama,AL,1,1991,2.29,204.57,102.29,74.57
Alabama,AL,1,1992,2.72,210.12,105.07,76.6
Alabama,AL,1,1993,3.19,216.83,108.43,79.04
Alabama,AL,1,1994,3.37,224.14,112.08,81.71
Alabama,AL,1,1995,4.14,233.43,116.72,85.09
Alabama,AL,1,1996,3.31,241.15,120.59,87.91
Alabama,AL,1,1997,3.7,250.08,125.05,91.16
Alabama,AL,1,1998,3.71,259.35,129.69,94.54
Alabama,AL,1,1999,2.5,265.83,132.92,96.9
Alabama,AL,1,2000,3.2,274.32,137.17,100
Alabama,AL,1,2001,4.09,285.54,142.78,104.09
Alabama,AL,1,2002,2.1,291.55,145.79,106.28
Alabama,AL,1,2003,2.21,298,149.01,108.63
Alabama,AL,1,2004,3.23,307.62,153.82,112.14
Alabama,AL,1,2005,6.58,327.86,163.94,119.52
Alabama,AL,1,2006,7.71,353.15,176.59,128.74
Alabama,AL,1,2007,4.07,367.53,183.78,133.98
Alabama,AL,1,2008,0.76,370.3,185.17,134.99
Alabama,AL,1,2009,-2.37,361.51,180.77,131.78
Alabama,AL,1,2010,-4.33,345.86,172.94,126.08
Alabama,AL,1,2011,-3.47,333.87,166.95,121.71
Alabama,AL,1,2012,-1.56,328.67,164.35,119.81
Alabama,AL,1,2013,-0.65,326.51,163.27,119.03
Alabama,AL,1,2014,1.43,331.17,165.6,120.72
Alabama,AL,1,2015,2.15,338.3,169.16,123.32
Alabama,AL,1,2016,2.57,346.99,173.51,126.49
Alabama,AL,1,2017,3.03,357.52,178.77,130.33
Alabama,AL,1,2018,4.33,373.01,186.52,135.97
Alabama,AL,1,2019,4.16,388.53,194.28,141.63
Alabama,AL,1,2020,4.15,404.67,202.35,147.52
Alaska,AK,2,1975,0,100,57.41,38.1
Alaska,AK,2,1976,8.98,108.98,62.57,41.52
Alaska,AK,2,1977,8.39,118.12,67.82,45
Alaska,AK,2,1978,10.46,130.48,74.91,49.71
Alaska,AK,2,1979,11.56,145.56,83.57,55.45
Alaska,AK,2,1980,-6.1,136.68,78.47,52.07
Alaska,AK,2,1981,21.06,165.47,95,63.04
Alaska,AK,2,1982,26.3,208.98,119.98,79.61
Alaska,AK,2,1983,4.88,219.17,125.83,83.49
Alaska,AK,2,1984,7.15,234.85,134.84,89.47
Alaska,AK,2,1985,-5.59,221.73,127.3,84.47
Alaska,AK,2,1986,-3.68,213.57,122.62,81.36
Alaska,AK,2,1987,-15.41,180.66,103.72,68.82
Alaska,AK,2,1988,6.46,192.32,110.42,73.26
Alaska,AK,2,1989,-10.16,172.78,99.2,65.82
Alaska,AK,2,1990,0.81,174.17,100,66.35
Alaska,AK,2,1991,13,196.83,113,74.98
Alaska,AK,2,1992,3.71,204.12,117.19,77.76
Alaska,AK,2,1993,1.48,207.15,118.93,78.91
Alaska,AK,2,1994,4.13,215.7,123.84,82.17
Alaska,AK,2,1995,4.79,226.03,129.77,86.11
Alaska,AK,2,1996,4.02,235.11,134.98,89.56
Alaska,AK,2,1997,2.81,241.7,138.77,92.08
Alaska,AK,2,1998,2.54,247.83,142.29,94.41
Alaska,AK,2,1999,3.71,257.03,147.57,97.92
Alaska,AK,2,2000,2.13,262.5,150.71,100
Alaska,AK,2,2001,5.06,275.78,158.34,105.06
Alaska,AK,2,2002,4.56,288.37,165.56,109.85
Alaska,AK,2,2003,3.25,297.74,170.94,113.43
Alaska,AK,2,2004,10.16,328,188.32,124.95
Alaska,AK,2,2005,12.63,369.43,212.11,140.74
Alaska,AK,2,2006,9.92,406.07,233.14,154.69
Alaska,AK,2,2007,3.3,419.48,240.84,159.8
Alaska,AK,2,2008,-0.25,418.45,240.25,159.41
Alaska,AK,2,2009,-1.25,413.23,237.25,157.42
Alaska,AK,2,2010,-0.51,411.14,236.05,156.62
Alaska,AK,2,2011,0.51,413.22,237.24,157.42
Alaska,AK,2,2012,0.13,413.73,237.54,157.61
Alaska,AK,2,2013,2.7,424.92,243.96,161.88
Alaska,AK,2,2014,2.44,435.28,249.91,165.82
Alaska,AK,2,2015,3.15,448.97,257.77,171.04
Alaska,AK,2,2016,1.9,457.49,262.66,174.28
Alaska,AK,2,2017,1.31,463.46,266.09,176.56
Alaska,AK,2,2018,1.41,470.02,269.86,179.06
Alaska,AK,2,2019,2.07,479.74,275.44,182.76
Alaska,AK,2,2020,2.67,492.53,282.78,187.63
Arizona,AZ,4,1975,0,100,44.05,29.48
Arizona,AZ,4,1976,3.9,103.9,45.77,30.63
Arizona,AZ,4,1977,8.22,112.44,49.53,33.15
Arizona,AZ,4,1978,15.36,129.71,57.14,38.24
Arizona,AZ,4,1979,22.49,158.88,69.99,46.84
Arizona,AZ,4,1980,11.66,177.4,78.15,52.3
Arizona,AZ,4,1981,8.05,191.69,84.44,56.51
Arizona,AZ,4,1982,-4.86,182.37,80.34,53.77
Arizona,AZ,4,1983,10.47,201.47,88.75,59.4
Arizona,AZ,4,1984,4.34,210.21,92.6,61.98
Arizona,AZ,4,1985,3.41,217.39,95.76,64.09
Arizona,AZ,4,1986,5.24,228.79,100.79,67.45
Arizona,AZ,4,1987,1.01,231.1,101.8,68.14
Arizona,AZ,4,1988,-0.88,229.07,100.91,67.54
Arizona,AZ,4,1989,-0.5,227.92,100.4,67.2
Arizona,AZ,4,1990,-0.4,227,100,66.93
Arizona,AZ,4,1991,2.12,231.82,102.12,68.35
Arizona,AZ,4,1992,2.12,236.73,104.28,69.8
Arizona,AZ,4,1993,1.91,241.26,106.28,71.13
Arizona,AZ,4,1994,4.73,252.67,111.31,74.5
Arizona,AZ,4,1995,6.56,269.25,118.61,79.38
Arizona,AZ,4,1996,4.1,280.3,123.48,82.64
Arizona,AZ,4,1997,4.13,291.87,128.58,86.05
Arizona,AZ,4,1998,4.39,304.69,134.22,89.83
Arizona,AZ,4,1999,4.12,317.23,139.74,93.53
Arizona,AZ,4,2000,6.92,339.18,149.41,100
Arizona,AZ,4,2001,6.05,359.7,158.45,106.05
Arizona,AZ,4,2002,5,377.67,166.37,111.35
Arizona,AZ,4,2003,3.99,392.73,173.01,115.79
Arizona,AZ,4,2004,11.42,437.58,192.76,129.01
Arizona,AZ,4,2005,30.02,568.94,250.63,167.74
Arizona,AZ,4,2006,17.73,669.83,295.07,197.49
Arizona,AZ,4,2007,-0.68,665.3,293.08,196.15
Arizona,AZ,4,2008,-12.15,584.46,257.46,172.32
Arizona,AZ,4,2009,-18.66,475.41,209.43,140.17
Arizona,AZ,4,2010,-13.14,412.93,181.9,121.74
Arizona,AZ,4,2011,-10.17,370.94,163.41,109.36
Arizona,AZ,4,2012,4.09,386.1,170.09,113.84
Arizona,AZ,4,2013,12.05,432.63,190.58,127.55
Arizona,AZ,4,2014,10.11,476.36,209.85,140.45
Arizona,AZ,4,2015,5.41,502.12,221.19,148.04
Arizona,AZ,4,2016,6.94,536.96,236.54,158.31
Arizona,AZ,4,2017,7.52,577.34,254.33,170.22
Arizona,AZ,4,2018,7.79,622.29,274.13,183.47
Arizona,AZ,4,2019,6.15,660.57,290.99,194.76
Arizona,AZ,4,2020,7.2,708.16,311.96,208.79
Arkansas,AR,5,1975,0,100,49.55,36.17
Arkansas,AR,5,1976,9.99,109.99,54.5,39.78
Arkansas,AR,5,1977,11.49,122.63,60.77,44.36
Arkansas,AR,5,1978,8.35,132.86,65.84,48.06
Arkansas,AR,5,1979,15.18,153.03,75.83,55.35
Arkansas,AR,5,1980,7.29,164.18,81.36,59.38
Arkansas,AR,5,1981,4.63,171.78,85.12,62.14
Arkansas,AR,5,1982,0.16,172.06,85.26,62.24
Arkansas,AR,5,1983,8.38,186.47,92.4,67.45
Arkansas,AR,5,1984,2.56,191.25,94.77,69.18
Arkansas,AR,5,1985,1.5,194.13,96.19,70.22
Arkansas,AR,5,1986,3.18,200.3,99.25,72.45
Arkansas,AR,5,1987,0.74,201.79,99.99,72.99
Arkansas,AR,5,1988,-0.99,199.8,99,72.27
Arkansas,AR,5,1989,0.19,200.18,99.19,72.4
Arkansas,AR,5,1990,0.82,201.81,100,72.99
Arkansas,AR,5,1991,1.9,205.65,101.9,74.38
Arkansas,AR,5,1992,2.34,210.45,104.28,76.12
Arkansas,AR,5,1993,3.89,218.64,108.34,79.08
Arkansas,AR,5,1994,5,229.57,113.76,83.04
Arkansas,AR,5,1995,5.33,241.81,119.82,87.46
Arkansas,AR,5,1996,2.84,248.68,123.23,89.95
Arkansas,AR,5,1997,2.72,255.45,126.58,92.4
Arkansas,AR,5,1998,2.9,262.85,130.25,95.07
Arkansas,AR,5,1999,2.21,268.66,133.13,97.18
Arkansas,AR,5,2000,2.91,276.47,137,100
Arkansas,AR,5,2001,4.49,288.88,143.14,104.49
Arkansas,AR,5,2002,2.63,296.46,146.9,107.23
Arkansas,AR,5,2003,2.56,304.04,150.66,109.97
Arkansas,AR,5,2004,5.48,320.7,158.92,116
Arkansas,AR,5,2005,6.98,343.07,170,124.09
Arkansas,AR,5,2006,5.87,363.2,179.97,131.37
Arkansas,AR,5,2007,2.36,371.78,184.22,134.47
Arkansas,AR,5,2008,-0.47,370.03,183.36,133.84
Arkansas,AR,5,2009,-2.08,362.32,179.54,131.05
Arkansas,AR,5,2010,-2.95,351.62,174.23,127.18
Arkansas,AR,5,2011,-1.72,345.58,171.24,125
Arkansas,AR,5,2012,-0.16,345.01,170.96,124.79
Arkansas,AR,5,2013,1.17,349.04,172.96,126.25
Arkansas,AR,5,2014,1.32,353.66,175.25,127.92
Arkansas,AR,5,2015,2.24,361.57,179.17,130.78
Arkansas,AR,5,2016,2.38,370.17,183.43,133.89
Arkansas,AR,5,2017,3.48,383.07,189.82,138.56
Arkansas,AR,5,2018,3.93,398.15,197.29,144.01
Arkansas,AR,5,2019,2.97,409.97,203.15,148.29
Arkansas,AR,5,2020,3.05,422.5,209.36,152.82
California,CA,6,1975,0,100,21.33,18.01
California,CA,6,1976,14.26,114.26,24.37,20.58
California,CA,6,1977,21.65,138.99,29.64,25.03
California,CA,6,1978,17.61,163.46,34.86,29.44
California,CA,6,1979,15.95,189.53,40.42,34.14
California,CA,6,1980,16.04,219.92,46.9,39.61
California,CA,6,1981,10.15,242.24,51.66,43.63
California,CA,6,1982,-3.05,234.85,50.09,42.3
California,CA,6,1983,5.75,248.35,52.97,44.73
California,CA,6,1984,2.95,255.68,54.53,46.05
California,CA,6,1985,5.44,269.6,57.5,48.56
California,CA,6,1986,5.99,285.75,60.94,51.46
California,CA,6,1987,8.36,309.62,66.03,55.77
California,CA,6,1988,16.42,360.48,76.88,64.92
California,CA,6,1989,22.1,440.12,93.86,79.27
California,CA,6,1990,6.54,468.89,100,84.45
California,CA,6,1991,-0.43,466.87,99.57,84.09
California,CA,6,1992,-1.68,459.04,97.9,82.68
California,CA,6,1993,-5.11,435.58,92.9,78.45
California,CA,6,1994,-3.08,422.17,90.03,76.04
California,CA,6,1995,-2.55,411.4,87.74,74.1
California,CA,6,1996,-0.09,411.04,87.66,74.03
California,CA,6,1997,2.75,422.33,90.07,76.06
California,CA,6,1998,8.07,456.42,97.34,82.21
California,CA,6,1999,6.78,487.38,103.94,87.78
California,CA,6,2000,13.92,555.22,118.41,100
California,CA,6,2001,11.7,620.2,132.27,111.7
California,CA,6,2002,10.4,684.71,146.03,123.32
California,CA,6,2003,9.48,749.59,159.86,135.01
California,CA,6,2004,19.38,894.84,190.84,161.17
California,CA,6,2005,24.63,1115.2,237.84,200.86
California,CA,6,2006,10.33,1230.35,262.39,221.59
California,CA,6,2007,-3.93,1182.06,252.09,212.9
California,CA,6,2008,-19.32,953.68,203.39,171.76
California,CA,6,2009,-15.09,809.73,172.69,145.84
California,CA,6,2010,-3.23,783.61,167.12,141.13
California,CA,6,2011,-5.69,739.01,157.61,133.1
California,CA,6,2012,-0.36,736.32,157.03,132.62
California,CA,6,2013,10.61,814.44,173.69,146.69
California,CA,6,2014,13.99,928.41,198,167.21
California,CA,6,2015,5.65,980.82,209.18,176.65
California,CA,6,2016,7.69,1056.26,225.27,190.24
California,CA,6,2017,6.73,1127.33,240.42,203.04
California,CA,6,2018,6.58,1201.49,256.24,216.4
