state_01,state_02,year,src_10_400,src_35_300
"AK","AK",1960,,
"AK","AL",1960,0,0
"AK","AR",1960,0,0
"AK","AZ",1960,0,0
"AK","CA",1960,0,0
"AK","CO",1960,0,0
"AK","CT",1960,0,0
"AK","DE",1960,0,0
"AK","FL",1960,0,0
"AK","GA",1960,0,0
"AK","HI",1960,0,0
"AK","IA",1960,0,0
"AK","ID",1960,0,0
"AK","IL",1960,0,0
"AK","IN",1960,0,0
"AK","KS",1960,1,1
"AK","KY",1960,0,0
"AK","LA",1960,0,0
"AK","MA",1960,0,0
"AK","MD",1960,0,0
"AK","ME",1960,0,0
"AK","MI",1960,0,0
"AK","MN",1960,0,0
"AK","MO",1960,0,0
"AK","MS",1960,0,0
"AK","MT",1960,0,0
"AK","NC",1960,0,0
"AK","ND",1960,0,0
"AK","NE",1960,0,0
"AK","NH",1960,0,0
"AK","NJ",1960,0,0
"AK","NM",1960,0,0
"AK","NV",1960,0,0
"AK","NY",1960,0,0
"AK","OH",1960,0,0
"AK","OK",1960,0,0
"AK","OR",1960,0,0
"AK","PA",1960,0,0
"AK","RI",1960,0,0
"AK","SC",1960,0,0
"AK","SD",1960,0,0
"AK","TN",1960,0,0
"AK","TX",1960,0,0
"AK","UT",1960,0,0
"AK","VA",1960,0,0
"AK","VT",1960,0,0
"AK","WA",1960,0,0
"AK","WI",1960,0,0
"AK","WV",1960,0,0
"AK","WY",1960,0,0
"AL","AK",1960,0,0
"AL","AL",1960,,
"AL","AR",1960,0,0
"AL","AZ",1960,0,0
"AL","CA",1960,0,0
"AL","CO",1960,0,0
"AL","CT",1960,0,0
"AL","DE",1960,0,0
"AL","FL",1960,0,0
"AL","GA",1960,0,1
"AL","HI",1960,0,0
"AL","IA",1960,0,0
"AL","ID",1960,0,0
"AL","IL",1960,1,1
"AL","IN",1960,0,0
"AL","KS",1960,0,0
"AL","KY",1960,1,1
"AL","LA",1960,0,0
"AL","MA",1960,0,0
"AL","MD",1960,0,0
"AL","ME",1960,0,0
"AL","MI",1960,0,1
"AL","MN",1960,0,0
"AL","MO",1960,0,0
"AL","MS",1960,0,0
"AL","MT",1960,0,0
"AL","NC",1960,0,0
"AL","ND",1960,0,0
"AL","NE",1960,0,0
"AL","NH",1960,0,0
"AL","NJ",1960,0,0
"AL","NM",1960,1,1
"AL","NV",1960,0,0
"AL","NY",1960,0,0
"AL","OH",1960,0,1
"AL","OK",1960,0,0
"AL","OR",1960,0,1
"AL","PA",1960,0,0
"AL","RI",1960,0,0
"AL","SC",1960,0,0
"AL","SD",1960,0,0
"AL","TN",1960,0,1
"AL","TX",1960,0,0
"AL","UT",1960,0,0
"AL","VA",1960,0,0
"AL","VT",1960,1,0
"AL","WA",1960,0,0
"AL","WI",1960,0,0
"AL","WV",1960,0,0
"AL","WY",1960,0,0
"AR","AK",1960,0,0
"AR","AL",1960,0,1
"AR","AR",1960,,
"AR","AZ",1960,1,0
"AR","CA",1960,1,0
"AR","CO",1960,0,0
"AR","CT",1960,1,0
"AR","DE",1960,0,0
"AR","FL",1960,0,1
"AR","GA",1960,0,0
"AR","HI",1960,0,0
"AR","IA",1960,0,0
"AR","ID",1960,0,0
"AR","IL",1960,0,0
"AR","IN",1960,0,0
"AR","KS",1960,0,0
"AR","KY",1960,0,1
"AR","LA",1960,1,0
"AR","MA",1960,0,0
"AR","MD",1960,0,0
"AR","ME",1960,0,0
"AR","MI",1960,0,0
"AR","MN",1960,0,0
"AR","MO",1960,0,0
"AR","MS",1960,0,0
"AR","MT",1960,0,0
"AR","NC",1960,0,0
"AR","ND",1960,0,0
"AR","NE",1960,0,0
"AR","NH",1960,0,0
"AR","NJ",1960,1,0
"AR","NM",1960,0,0
"AR","NV",1960,0,0
"AR","NY",1960,0,1
"AR","OH",1960,0,0
"AR","OK",1960,0,0
"AR","OR",1960,0,0
"AR","PA",1960,1,0
"AR","RI",1960,0,0
"AR","SC",1960,0,1
"AR","SD",1960,0,0
"AR","TN",1960,0,0
"AR","TX",1960,0,1
"AR","UT",1960,0,0
"AR","VA",1960,0,0
"AR","VT",1960,0,0
"AR","WA",1960,1,1
"AR","WI",1960,0,0
"AR","WV",1960,0,0
"AR","WY",1960,0,0
"AZ","AK",1960,0,0
"AZ","AL",1960,0,1
"AZ","AR",1960,0,0
"AZ","AZ",1960,,
"AZ","CA",1960,0,0
"AZ","CO",1960,0,0
"AZ","CT",1960,0,0
"AZ","DE",1960,0,0
"AZ","FL",1960,0,0
"AZ","GA",1960,0,0
"AZ","HI",1960,0,0
"AZ","IA",1960,0,0
"AZ","ID",1960,0,0
"AZ","IL",1960,1,0
"AZ","IN",1960,0,0
"AZ","KS",1960,0,0
"AZ","KY",1960,0,0
"AZ","LA",1960,1,0
"AZ","MA",1960,0,0
"AZ","MD",1960,0,0
"AZ","ME",1960,0,0
"AZ","MI",1960,0,0
"AZ","MN",1960,0,1
"AZ","MO",1960,0,0
"AZ","MS",1960,1,1
"AZ","MT",1960,0,0
"AZ","NC",1960,0,1
"AZ","ND",1960,0,0
"AZ","NE",1960,0,0
"AZ","NH",1960,0,0
"AZ","NJ",1960,0,0
"AZ","NM",1960,1,0
"AZ","NV",1960,0,0
"AZ","NY",1960,0,1
"AZ","OH",1960,0,0
"AZ","OK",1960,0,0
"AZ","OR",1960,0,0
"AZ","PA",1960,0,0
"AZ","RI",1960,0,1
"AZ","SC",1960,0,0
"AZ","SD",1960,0,0
"AZ","TN",1960,0,0
"AZ","TX",1960,0,0
"AZ","UT",1960,0,1
"AZ","VA",1960,0,0
"AZ","VT",1960,0,0
"AZ","WA",1960,0,0
"AZ","WI",1960,0,0
"AZ","WV",1960,0,0
"AZ","WY",1960,0,0
"CA","AK",1960,0,0
"CA","AL",1960,0,1
"CA","AR",1960,0,1
"CA","AZ",1960,0,0
"CA","CA",1960,,
"CA","CO",1960,0,0
"CA","CT",1960,0,0
"CA","DE",1960,0,0
"CA","FL",1960,0,0
"CA","GA",1960,0,0
"CA","HI",1960,0,0
"CA","IA",1960,0,0
"CA","ID",1960,0,0
"CA","IL",1960,0,0
"CA","IN",1960,0,0
"CA","KS",1960,0,0
"CA","KY",1960,0,0
"CA","LA",1960,1,0
"CA","MA",1960,0,0
"CA","MD",1960,1,1
"CA","ME",1960,0,0
"CA","MI",1960,0,0
"CA","MN",1960,1,1
"CA","MO",1960,1,0
"CA","MS",1960,0,0
"CA","MT",1960,0,0
"CA","NC",1960,0,0
"CA","ND",1960,0,0
"CA","NE",1960,1,0
"CA","NH",1960,0,0
"CA","NJ",1960,0,0
"CA","NM",1960,0,1
"CA","NV",1960,0,0
"CA","NY",1960,0,1
"CA","OH",1960,0,0
"CA","OK",1960,0,0
"CA","OR",1960,1,0
"CA","PA",1960,0,0
"CA","RI",1960,0,1
"CA","SC",1960,0,0
"CA","SD",1960,0,0
"CA","TN",1960,0,0
"CA","TX",1960,0,0
"CA","UT",1960,0,0
"CA","VA",1960,0,0
"CA","VT",1960,0,0
"CA","WA",1960,0,0
"CA","WI",1960,1,0
"CA","WV",1960,0,0
"CA","WY",1960,0,0
"CO","AK",1960,0,0
"CO","AL",1960,0,0
"CO","AR",1960,0,0
"CO","AZ",1960,0,0
"CO","CA",1960,0,0
"CO","CO",1960,,
"CO","CT",1960,0,0
"CO","DE",1960,0,0
"CO","FL",1960,1,0
"CO","GA",1960,0,0
"CO","HI",1960,0,0
"CO","IA",1960,0,0
"CO","ID",1960,0,0
"CO","IL",1960,0,1
"CO","IN",1960,0,0
"CO","KS",1960,0,0
"CO","KY",1960,0,1
"CO","LA",1960,1,1
"CO","MA",1960,0,0
"CO","MD",1960,0,0
"CO","ME",1960,0,0
"CO","MI",1960,0,0
"CO","MN",1960,1,1
"CO","MO",1960,0,0
"CO","MS",1960,0,0
"CO","MT",1960,0,0
"CO","NC",1960,0,0
"CO","ND",1960,0,0
"CO","NE",1960,0,0
"CO","NH",1960,0,0
"CO","NJ",1960,1,0
"CO","NM",1960,0,0
"CO","NV",1960,0,0
"CO","NY",1960,0,0
"CO","OH",1960,0,0
"CO","OK",1960,0,0
"CO","OR",1960,1,0
"CO","PA",1960,1,0
"CO","RI",1960,1,1
"CO","SC",1960,0,0
"CO","SD",1960,0,0
"CO","TN",1960,0,0
"CO","TX",1960,0,0
"CO","UT",1960,0,0
"CO","VA",1960,0,0
"CO","VT",1960,0,0
"CO","WA",1960,1,0
"CO","WI",1960,0,1
"CO","WV",1960,0,0
"CO","WY",1960,0,0
"CT","AK",1960,0,0
"CT","AL",1960,0,0
"CT","AR",1960,0,0
"CT","AZ",1960,0,0
"CT","CA",1960,0,0
"CT","CO",1960,0,0
"CT","CT",1960,,
"CT","DE",1960,0,0
"CT","FL",1960,0,0
"CT","GA",1960,1,1
"CT","HI",1960,0,0
"CT","IA",1960,0,0
"CT","ID",1960,0,0
"CT","IL",1960,0,0
"CT","IN",1960,0,0
"CT","KS",1960,0,0
"CT","KY",1960,1,1
"CT","LA",1960,0,0
"CT","MA",1960,0,0
"CT","MD",1960,0,0
"CT","ME",1960,0,0
"CT","MI",1960,0,0
"CT","MN",1960,0,0
"CT","MO",1960,0,0
"CT","MS",1960,0,0
"CT","MT",1960,0,0
"CT","NC",1960,0,0
"CT","ND",1960,0,0
"CT","NE",1960,0,0
"CT","NH",1960,0,0
"CT","NJ",1960,0,0
"CT","NM",1960,0,0
"CT","NV",1960,0,0
"CT","NY",1960,1,1
"CT","OH",1960,0,1
"CT","OK",1960,0,0
"CT","OR",1960,0,1
"CT","PA",1960,1,0
"CT","RI",1960,0,1
"CT","SC",1960,0,1
"CT","SD",1960,0,0
"CT","TN",1960,1,0
"CT","TX",1960,0,0
"CT","UT",1960,0,0
"CT","VA",1960,0,0
"CT","VT",1960,0,0
"CT","WA",1960,0,0
"CT","WI",1960,0,0
"CT","WV",1960,0,0
"CT","WY",1960,0,0
